Região,Município,UF,Lat,Long
Chapada de Minas,Itamarandiba,MG,-17.8573054,-42.8583933
Chapada de Minas,Machacalis,MG,-17.0774875,-40.7175206
Chapada de Minas,Pescador,MG,-18.356448,-41.5968357
Chapada de Minas,São João do Paraíso,MG,-15.3151121,-42.0168313
Chapada de Minas,Serro,MG,-18.6036292,-43.3789211
Chapada de Minas,Gouveia,MG,-18.4572694,-43.742119
Chapada de Minas,Palmópolis,MG,-16.7370846,-40.4205439
Chapada de Minas,Virgolândia,MG,-18.4753478,-42.308132
Chapada de Minas,Alpercata,MG,-18.9903784,-41.9899003
Chapada de Minas,Catuji,MG,-17.3010791,-41.5165245
Chapada de Minas,Divisa Alegre,MG,-15.7244095,-41.3432936
Chapada de Minas,Itambacuri,MG,-18.0343603,-41.6799844
Chapada de Minas,Materlândia,MG,-18.4736823,-43.0581397
Chapada de Minas,Ponto dos Volantes,MG,-16.7538065,-41.5072898
Chapada de Minas,São João Evangelista,MG,-18.5484868,-42.7659047
Chapada de Minas,Setubinha,MG,-17.6005222,-42.16249740000001
Chapada de Minas,Governador Valadares,MG,-18.8558333,-41.95718979999999
Chapada de Minas,Patis,MG,-16.0828098,-44.0846254
Chapada de Minas,Alvorada de Minas,MG,-18.7319236,-43.3644978
Chapada de Minas,Catuti,MG,-15.3617621,-42.9612267
Chapada de Minas,Divisópolis,MG,-15.7208534,-41.0028156
Chapada de Minas,Itaobim,MG,-16.5585736,-41.5025529
Chapada de Minas,Matias Cardoso,MG,-14.8557359,-43.9224583
Chapada de Minas,Porteirinha,MG,-15.741151,-43.0280584
Chapada de Minas,São Félix de Minas,MG,-18.5908218,-41.4883363
Chapada de Minas,Taiobeiras,MG,-15.8094407,-42.2253031
Chapada de Minas,Grão Mogol,MG,-16.5633283,-42.8931402
Chapada de Minas,Paulistas,MG,-18.4280203,-42.8689983
Chapada de Minas,Angelândia,MG,-17.7265296,-42.2718074
Chapada de Minas,Central de Minas,MG,-18.7609865,-41.30677730000001
Chapada de Minas,Dom Joaquim,MG,-18.967179,-43.2547372
Chapada de Minas,Itinga,MG,-16.6052663,-41.772617
Chapada de Minas,Mantena,MG,-18.7833762,-40.9813375
Chapada de Minas,Poté,MG,-17.8061844,-41.7888312
Chapada de Minas,São Geraldo da Piedade,MG,-18.8442791,-42.2888568
Chapada de Minas,Teófilo Otoni,MG,-17.8608479,-41.5089708
Chapada de Minas,Guanhães,MG,-18.7770362,-42.9380174
Chapada de Minas,Pavão,MG,-17.4287426,-40.9990787
Chapada de Minas,Araçuaí,MG,-16.8488713,-42.0642959
Chapada de Minas,Chapada do Norte,MG,-17.0885911,-42.5395831
Chapada de Minas,Engenheiro Navarro,MG,-17.287344,-43.9514819
Chapada de Minas,Jacinto,MG,-16.1445714,-40.2914593
Chapada de Minas,Marilac,MG,-18.5069502,-42.08256420000001
Chapada de Minas,Presidente Kubitschek,MG,-18.6158306,-43.5612004
Chapada de Minas,São Geraldo do Baixio,MG,-18.9182115,-41.3605802
Chapada de Minas,Vargem Grande do Rio Pardo,MG,-15.4014133,-42.3076639
Chapada de Minas,Guaraciama,MG,-17.0139361,-43.6712906
Chapada de Minas,Peçanha,MG,-18.5457245,-42.562456
Chapada de Minas,Aricanduva,MG,-17.8676659,-42.5557771
Chapada de Minas,Coluna,MG,-18.2317067,-42.8380999
Chapada de Minas,Espinosa,MG,-14.9208695,-42.8110581
Chapada de Minas,Janaúba,MG,-15.8009305,-43.30941869999999
Chapada de Minas,Mata Verde,MG,-15.6864881,-40.7391
Chapada de Minas,Riacho dos Machados,MG,-16.0033698,-43.045511
Chapada de Minas,São Gonçalo do Rio Preto,MG,-18.0049609,-43.3826199
Chapada de Minas,Varzelândia,MG,-15.7041555,-44.0307964
Chapada de Minas,Nanuque,MG,-17.8419818,-40.3455433
Chapada de Minas,Pedra Azul,MG,-16.0035598,-41.2817631
Chapada de Minas,Capelinha,MG,-17.6934016,-42.5181119
Chapada de Minas,Comercinho,MG,-16.2968486,-41.7929238
Chapada de Minas,Felício dos Santos,MG,-18.0779106,-43.2503789
Chapada de Minas,Jenipapo de Minas,MG,-17.0833883,-42.2594917
Chapada de Minas,Mathias Lobato,MG,-18.5734457,-41.9152089
Chapada de Minas,Rio do Prado,MG,-16.6095709,-40.5706019
Chapada de Minas,São João da Ponte,MG,-15.928472,-44.00730679999999
Chapada de Minas,Várzea da Palma,MG,-17.5989135,-44.7331539
Chapada de Minas,Ninheira,MG,-15.3190042,-41.7542195
Chapada de Minas,Santa Maria do Salto,MG,-16.2486979,-40.1486081
Chapada de Minas,Capitão Enéas,MG,-16.3253656,-43.7106813
Chapada de Minas,Conceição do Mato Dentro,MG,-19.0357363,-43.4247512
Chapada de Minas,Felisburgo,MG,-16.6390558,-40.7624728
Chapada de Minas,Jequitinhonha,MG,-16.433269,-41.00372770000001
Chapada de Minas,Mato Verde,MG,-15.3966848,-42.8609082
Chapada de Minas,Rio Pardo de Minas,MG,-15.6151338,-42.5432613
Chapada de Minas,São José da Safira,MG,-18.3240405,-42.1463203
Chapada de Minas,Ataléia,MG,-18.0434475,-41.1109357
Chapada de Minas,Nova Belém,MG,-18.4930945,-41.1044326
Chapada de Minas,Santa Maria do Suaçuí,MG,-18.190111,-42.4182113
Chapada de Minas,Caraí,MG,-17.1881483,-41.6978585
Chapada de Minas,Cristália,MG,-16.7186011,-42.8661497
Chapada de Minas,Francisco Badaró,MG,-16.9909727,-42.3515282
Chapada de Minas,Joaíma,MG,-16.6548418,-41.024755
Chapada de Minas,Medina,MG,-16.2278016,-41.4789992
Chapada de Minas,Rio Vermelho,MG,-18.2968168,-43.0088369
Chapada de Minas,São José do Divino,MG,-18.4802628,-41.3885523
Chapada de Minas,Bandeira,MG,-15.8853574,-40.5603207
Chapada de Minas,Nova Módica,MG,-18.4404185,-41.5007889
Chapada de Minas,Santana de Pirapama,MG,-19.0072308,-44.03992179999999
Chapada de Minas,Carbonita,MG,-17.5301121,-43.01385519999999
Chapada de Minas,Curral de Dentro,MG,-15.9382945,-41.8550883
Chapada de Minas,Francisco Sá,MG,-16.4786911,-43.491133
Chapada de Minas,Jordânia,MG,-15.899537,-40.1777167
Chapada de Minas,Mendes Pimentel,MG,-18.6576406,-41.40222989999999
Chapada de Minas,Rubelita,MG,-16.4084007,-42.2621456
Chapada de Minas,São José do Jacuri,MG,-18.2765521,-42.6712058
Chapada de Minas,Frei Gaspar,MG,-18.0654963,-41.4290071
Chapada de Minas,Nova Porteirinha,MG,-15.8016676,-43.29797869999999
Chapada de Minas,Santo Antônio do Itambé,MG,-18.465186,-43.3055355
Chapada de Minas,Carlos Chagas,MG,-17.704275,-40.7627974
Chapada de Minas,Congonhas do Norte,MG,-18.8107723,-43.6785377
Chapada de Minas,Franciscópolis,MG,-17.9598572,-42.00712
Chapada de Minas,José Gonçalves de Minas,MG,-16.907651,-42.6042947
Chapada de Minas,Minas Novas,MG,-17.2185332,-42.590971
Chapada de Minas,Rubim,MG,-16.3804615,-40.543136
Chapada de Minas,São Pedro do Suaçuí,MG,-18.3647482,-42.6034003
Chapada de Minas,Frei Inocêncio,MG,-18.5625456,-41.9066949
Chapada de Minas,Novo Cruzeiro,MG,-17.4677177,-41.8785517
Chapada de Minas,Santo Antônio do Jacinto,MG,-16.5343235,-40.1752636
Chapada de Minas,Berilo,MG,-16.951239,-42.4628418
Chapada de Minas,Coroaci,MG,-18.619454,-42.28197189999999
Chapada de Minas,Francisco Dumont,MG,-17.3130911,-44.2323668
Chapada de Minas,José Raydan,MG,-18.2208328,-42.4975239
Chapada de Minas,Mirabela,MG,-16.2569142,-44.1590905
Chapada de Minas,Sabinópolis,MG,-18.6664508,-43.081434
Chapada de Minas,São Sebastião do Maranhão,MG,-18.0890522,-42.5681158
Chapada de Minas,Frei Lagonegro,MG,-18.1674016,-42.7662062
Chapada de Minas,Novo Oriente de Minas,MG,-17.4156372,-41.2176322
Chapada de Minas,Santo Antônio do Retiro,MG,-15.34119,-42.6243176
Chapada de Minas,Berizal,MG,-15.6113169,-41.7391419
Chapada de Minas,Coronel Murta,MG,-16.6167732,-42.183075
Chapada de Minas,Jaíba,MG,-15.3400055,-43.6768344
Chapada de Minas,Josenópolis,MG,-16.5465121,-42.5142462
Chapada de Minas,Monjolos,MG,-18.3241156,-44.11828209999999
Chapada de Minas,Salinas,MG,-16.1684352,-42.2922678
Chapada de Minas,Sardoá,MG,-18.7826298,-42.366821
Chapada de Minas,Fronteira dos Vales,MG,-16.8921514,-40.9254441
Chapada de Minas,Novorizonte,MG,-16.0182356,-42.408133
Chapada de Minas,Turmalina,MG,-17.2860485,-42.7318654
Chapada de Minas,Bertópolis,MG,-17.0613431,-40.5741895
Chapada de Minas,Couto de Magalhães de Minas,MG,-18.0736097,-43.4707835
Chapada de Minas,Jampruca,MG,-18.4604269,-41.8095114
Chapada de Minas,Juramento,MG,-16.8482431,-43.5876835
Chapada de Minas,Monte Azul,MG,-15.1522627,-42.8716914
Chapada de Minas,Salto da Divisa,MG,-15.9977086,-39.9492556
